,Text,Difficulty,Difficulty Annotator 1,Difficulty Annotator 2,Difficulty Annotator 3
0,"Dans une maison de retraite, on ressasse ce qui est passé, alors que quand t’as une jeune, on parle de tout, de l’avenir.",,C1,C1,C1
1,"Elle, c’est Gérarda, elle a 85 ans, et elle vit avec Séverine, 36 ans et sa fille Kéline de 8 ans.",,A1,A1,A1
2,"Moi c’est Chloé et je vais vous raconter l’histoire de leur colocation intergénérationnelle, parce que la vieille dame, c’est ma grand-mère.",,C1,C1,C1
3,Je vis chez Gérarda avec ma fille depuis deux ans.,,A1,A1,A1
4,Auparavant je l’avais connue par rapport à ma formation d’infirmière.,,A2,A2,A2
5,"Pendant les trois années d’études, je vivais déjà chez elle.",,A1,A1,A1
6,Séverine est arrivée après une annonce que ma fille a faite.,,A1,A1,A1
7,On s’est tout de suite très bien entendues.,,A1,A1,A1
8,Elle est venue voir en bas si ça lui convenait.,,A1,A1,A1
9,Est-ce que je peux chercher mes valises ?,,A1,A1,A1
10,J’ai réservé pour deux nuits.,,A1,A1,A1
11,Je m’appelle Monsieur Legrand.,,A1,A1,A1
12,Je voudrais la clé s’il vous plaît.,,A1,A1,A1
13,"Elle donne sur le jardin, vous y serez très bien.",,A1,A1,A1
14,"Bonjour Madame, un aller simple pour Marseille.",,A1,A1,A1
15,Vous voyagez en quelle classe ?,,A1,A1,A1
16,Vous bénéficiez d’une réduction ?,,A1,A1,A1
17,J’ai la carte jeune.,,A1,A1,A1
18,"Bonjour mademoiselle, qu’est-ce que je vous sers ?",,A1,A1,A1
19,C’est quoi le plat du jour s’il vous plaît ?,,A1,A1,A1
20,"Parfait, alors un plat du jour, s’il vous plaît.",,A1,A1,A1
21,"Combien coûte un kilo d’oranges, s’il vous plaît ?",,A1,A1,A1
22,Un euro le kilo et deux euros les trois.,,A1,A1,A1
23,"Pour aller à la mairie, s’il vous plaît ?",,A1,A1,A1
24,Vous prenez le bus 167.,,A1,A1,A1
25,"C’est là, au bout de la rue.",,A1,A1,A1
26,"Merci, Monsieur.",,A1,A1,A1
27,C’est bientôt l’anniversaire de Julie.,,A1,A1,A1
28,Elle est née quel jour ?,,A1,A1,A1
29,"Mesdames, votre attention, s’il vous plaît.",,A1,A1,A1
30,Le vol AF335 au départ de Paris et à destination de Nice va partir à 15 h 40.,,A1,A1,A1
31,Nous invitons tous les passagers à se présenter porte 28.,,A1,A1,A1
32,Nous vous remercions de voyager sur la compagnie France Air.,,A1,A1,A1
33,Nous vous souhaitons un bon voyage.,,A1,A1,A1
34,"Je vous rappelle vos rendez-vous de demain, mardi.",,A1,A1,A1
35,Vous avez rendez-vous chez le dentiste.,,A1,A1,A1
36,"À 12 h 30, vous allez déjeuner avec Madame Seguin.",,A1,A1,A1
37,Vous devez revenir au bureau pour la réunion avec le directeur de l’entreprise Nysol.,,A2,A2,A2
38,Bonne soirée !,,A1,A1,A1
39,Bonjour à tous et bienvenue à la formation.,,A1,A1,A1
40,Je peux m’asseoir ici ?,,A1,A1,A1
41,Asseyez-vous.,,A1,A1,A1
42,Vous avez des petites bouteilles d’eau si vous avez soif.,,A1,A1,A1
43,"Bonjour Dorian, ça va ?",,A1,A1,A1
44,"Oui, ça va, merci.",,A1,A1,A1
45,Tu vas à l’université ?,,A1,A1,A1
46,"Oui, je commence à 8 h 30.",,A1,A1,A1
47,Il pleut beaucoup aujourd’hui !,,A1,A1,A1
48,Je suis le professeur Duquesnes.,,A1,A1,A1
49,Où est la salle 33 ?,,A1,A1,A1
50,"C’est ici, Monsieur.",,A1,A1,A1
51,Qu’est-ce que tu penses de cette peinture ?,,A1,A1,A1
52,J’aime beaucoup cette exposition.,,A1,A1,A1
53,"Il est bien, ce musée !",,A1,A1,A1
54,Je vais revenir avec les enfants la semaine prochaine.,,A1,A1,A1
55,Tu n’as pas de stylo ?,,A1,A1,A1
56,"Non, je ne le trouve pas !",,A1,A1,A1
57,Il est peut-être chez moi.,,A1,A1,A1
58,"Tiens, prends celui-ci.",,A1,A1,A1
59,Vous vous appelez comment ?,,A1,A1,A1
60,"Votre nom, comment ça s’écrit ?",,A1,A1,A1
61,Parlez-moi de votre famille.,,A1,A1,A1
62,Vous êtes marié(e) ?,,A1,A1,A1
63,Vous avez des enfants ?,,A1,A1,A1
64,Quel âge ont-ils ?,,A1,A1,A1
65,Vous avez des frères et sœurs ?,,A1,A1,A1
66,Ils habitent où ?,,A1,A1,A1
67,Qu’est-ce qu’ils font ?,,A1,A1,A1
68,Quelle est votre nationalité ?,,A1,A1,A1
69,Quelle est votre ville d’origine ?,,A1,A1,A1
70,Parlez-moi de votre maison.,,A1,A1,A1
71,Quelle est votre profession ?,,A1,A1,A1
72,Vous aimez votre travail ?,,A1,A1,A1
73,Parlez-moi d’une journée habituelle.,,A1,A1,A1
74,Vous vous levez à quelle heure ?,,A1,A1,A1
75,Qu’est-ce que vous mangez pour le petit-déjeuner ?,,A1,A1,A1
76,Vous rentrez à quelle heure ?,,A1,A1,A1
77,Qu’est-ce que vous faites le soir ?,,A1,A1,A1
78,Vous habitez loin d’ici ?,,A1,A1,A1
79,Qu’est-ce que vous faites le samedi et le dimanche ?,,A1,A1,A1
80,Vous aimez le sport ?,,A1,A1,A1
81,Quel sport est-ce que vous faites ?,,A1,A1,A1
82,Quel âge as-tu ?,,A1,A1,A1
83,J'ai 25 ans.,,A1,A1,A1
84,Parlez-vous français ?,,A1,A1,A1
85,"Oui, je parle un peu.",,A1,A1,A1
86,"Non, Je ne parle pas français.",,A1,A1,A1
87,Tu parles bien anglais.,,A1,A1,A1
88,Je te présente Marie. C'est une amie.,,A1,A1,A1
89,Enchanté !,,A1,A1,A1
90,Comment allez-vous ?,,A1,A1,A1
91,"Ca va, merci.",,A1,A1,A1
92,"Tout va bien, merci.",,A1,A1,A1
93,C'est un plaisir de faire votre connaissance.,,A1,A1,A1
94,Je ne comprends pas.,,A1,A1,A1
95,Je suis américain.,,A1,A1,A1
96,Vous êtes française.,,A1,A1,A1
97,Tu es américain et elle est anglaise.,,A1,A1,A1
98,Où habitez-vous ?,,A1,A1,A1
99,J’habite à New York.,,A1,A1,A1
100,On habite aux Etats-Unis.,,A1,A1,A1
101,Je m’appelle John.,,A1,A1,A1
102,Comment t’appelles-tu ?,,A1,A1,A1
103,D’où viens-tu ?,,A1,A1,A1
104,Je viens du Royaume Uni.,,A1,A1,A1
105,Est-ce qu'il y a du pain?,,A1,A1,A1
106,Es-tu prêt?,,A1,A1,A1
107,Fais attention!,,A1,A1,A1
108,Bon voyage!,,A1,A1,A1
109,Appelle un docteur!,,A1,A1,A1
110,Puis-je utiliser les toilettes?,,A1,A1,A1
111,Peux-tu m'aider?,,A1,A1,A1
112,Peux-tu répéter cela?,,A1,A1,A1
113,Peux-tu parler plus lentement?,,A1,A1,A1
114,Santé!,,A1,A1,A1
115,Viens ici!,,A1,A1,A1
116,Parles-tu anglais?,,A1,A1,A1
117,Parles-tu espagnol?,,A1,A1,A1
118,Est-ce que tu comprends?,,A1,A1,A1
119,Ne t'inquiète pas.,,A1,A1,A1
120,Bon après-midi!,,A1,A1,A1
121,Je suis fatigué.,,A1,A1,A1
122,Je n'en ai aucune idée.,,A1,A1,A1
123,Ce n'est pas important.,,A1,A1,A1
124,"Un instant, s'il vous plaît.",,A1,A1,A1
125,Vraiment?,,A1,A1,A1
126,Tais-toi!,,A1,A1,A1
127,Que se passe-t-il?,,A1,A1,A1
128,Où se trouve le supermarché?,,A1,A1,A1
129,Aimerais-tu un verre?,,A1,A1,A1
130,Je ne peux pas le croire.,,A1,A1,A1
131,Je ne trouve pas mes clés.,,A1,A1,A1
132,Ça te dérange si je fume?,,A1,A1,A1
133,J'aime le fromage,,A1,A1,A1
134,Je n'aime pas le pain.,,A1,A1,A1
135,J'ai froid,,A1,A1,A1
136,J'ai faim,,A1,A1,A1
137,Je suis professeur.,,A1,A1,A1
138,"Oui, mais ce n’est pas trop long ?",,A1,A2,A2
139,"Non, juste quelques minutes.",,A1,A2,A2
140,"Alors, tout d’abord quel âge avez-vous ?",,A2,A2,A2
141,J’ai 36 ans.,,A1,A2,A2
142,"Très bien, et est-ce que vous avez un téléphone portable ?",,A2,A2,A2
143,Depuis combien de temps?,,A1,A2,A2
144,"Depuis 2 ans, à peu près.",,A1,A2,A2
145,"Et vous l’utilisez, un peu, beaucoup ou rarement ?",,A2,A2,A2
146,Oh rarement.,,A1,A2,A2
147,"Vous savez, je ne l’utilise que pour les cas d’urgence !",,A2,A2,A2
148,"Et seriez-vous intéressée par l’achat d’un portable nouvelle génération avec appareil photo et accès
  Internet ?",,A2,A2,A2
149,"Et bien, pourquoi pas ?",,A1,A2,A2
150,"Comme ça, je pourrais l’utiliser plus souvent !",,A2,A2,A2
151,"Bien, l’enquête est terminée, madame.",,A2,A2,A2
152,Je vous remercie et je vous souhaite une très bonne journée.,,A1,A2,A2
153,"Merci, à vous aussi, au revoir.",,A2,A2,A2
154,"Mesdames, messieurs, votre attention s’il vous plaît.",,A1,A2,A2
155,Le vol AF 438 à destination de Paris va avoir environ 40 minutes de retard.,,A2,A2,A2
156,"La raison, ce sont les fortes pluies au départ de Madrid.",,A2,A2,A2
157,"Pour tout renseignement complémentaire, nous vous invitons à passer au bureau d’information de la compagnie.",,A2,A2,A2
158,Nous vous remercions de votre compréhension et nous vous souhaitons une excellente journée.,,A2,A2,A2
159,"Je suis Nicolas Dupond, je suis vendeur au magasin « Bureau déco ».",,A2,A2,A2
160,"Je vous appelle pour vous informer qu’à l’occasion des fêtes de Noël, nous offrons des promotions exceptionnelles à tous nos clients : 20, 30 et même 50 % de réduction sur la plupart de nos meubles !",,A2,A2,A2
161,"Nous vous invitons à venir nous rendre visite au magasin, du lundi au samedi de 9 h à 20 h, ou à consulter notre site internet pour plus de renseignements.",,A2,A2,A2
162,Hier s’est terminé le Salon de la pâtisserie de Paris.,,A2,A2,A2
163,"Avant, les gourmands se retrouvaient au Salon Cuisinez mais depuis qu’il a fermé, c’est au Salon de la pâtisserie que le grand public, mais aussi les professionnels de la pâtisserie, vont goûter de délicieux desserts chocolatés ou fruités.",,B1,A2,A2
164,Plus de 800 chefs pâtissiers sont présents pour dédicacer leurs livres mais aussi discuter avec le public de leur métier.,,A2,A2,A2
165,"Chaque année, vous pouvez acheter du matériel professionnel à bas prix et, nouveauté de cette année, vous pouvez suivre une classe avec un chef !",,A2,A2,A2
166,"Le billet pour un adulte coûte 10 euros à l’entrée du salon mais seulement 8 euros si vous l’achetez avant, sur le site Internet du salon.",,A2,A2,A2
167,Peux-tu me donner le numéro de ton spécialiste ?,,A2,A2,A2
168,Je veux prendre rendez-vous pour mon dos.,,A2,A2,A2
169,"Oui, bien sûr !",,A1,A2,A2
170,"Attends, je le cherche.",,A1,A2,A2
171,"Je ne trouve pas les livres que j’ai pris à la bibliothèque…
  ",,A2,A2,A2
172,"Tu pourrais ranger ta chambre, ça t’aiderait à les retrouver !",,A2,,
173,Je ne comprends rien à ce site d’achat en ligne !,,A2,A2,A2
174,Est-ce que tu veux que je regarde avec toi ?,,A2,A2,A2
175,"Oui, merci, c’est gentil !",,A1,A2,A2
176,Je suis vraiment désolé : j’ai oublié d’acheter de la viande en rentrant !,,A2,A2,A2
177,"Ce n’est pas grave, on va manger autre chose.",,A2,A2,A2
178,"Chers auditeurs, bonjour, nous nous retrouvons aujourd’hui dans le studio de votre émission culturelle préférée, « Un monde des idées », pour poser à nos invités une question que vous vous posez tous : « l’école
  doit-elle tout enseigner ?",,B2,A2,A2
179,"Avec nous ce soir pour tenter de répondre à cette question plusieurs personnalités, tout d’abord M. Jean Cruchon, Inspecteur de l’Education nationale et auteur d’un ouvrage sorti aux éditions
  « éducation », « le miracle de l’école » ; M. Cruchon bonsoir.",,B2,A2,A2
180,"Mlle Marie-Paule Lesueur, lycéenne au lycée Henry
  Wallon de La Courneuve en banlieue parisienne, bonsoir, et Mme Polanque, sociologue, anthropologue et spécialiste du monde éducatif.",,B2,A2,A2
181,"Alors j’ai envie de vous poser une première question, l’école a-t-elle aujourd’hui la
  même fonction qu’hier ?",,A2,A2,A2
182,"Non, bien sûr que non.",,A2,A2,A2
183,L’école n’a plus la même fonction qu’hier parce que le monde a changé.,,A2,A2,A2
184,"Lorsque Jules Ferry instaure l’école laïque, gratuite et obligatoire pour tous, nous sommes à la fin du XIXe siècle,
  dans un pays en pleine expansion économique, un pays colonialiste qui fait sa Révolution industrielle mais qui
  reste encore très rural.",,C1,A2,A2
185,"Cette école avait une vocation première, peut-être non avouée, celle de finaliser l’unification du pays.",,B2,A2,A2
186,"Il s’agissait avant tout de franciser la République, de faire en sorte que tous les petits Français
  parlent français.",,B2,A2,A2
187,L’unité linguistique était loin d’être faite.,,B1,A2,A2
188,"Les Bretons parlaient breton, les Occitans occitan et les Corses corse.",,A2,A2,A2
189,"Je ne peux pas vous laisser dire cela, Madame.",,A2,A2,A2
190,"L’école de la République qui a été fondée au XIXe
  reste aujourd’hui extrêmement actuelle, et on ne peut pas dire qu’elle a simplement servi à franciser les Français.",,B2,A2,A2
191,"Laissez-moi vous dire d’abord que beaucoup de gens parlaient français ; n’oubliez pas que le français s’est
  imposé comme langue de l’administration au XVIe siècle, au traité de Villers-Cotteret.",,B2,A2,A2
192,"Ça change que tout le monde au XIXe siècle était obligé de comprendre le français pour aller à la mairie,
  au service militaire ou encore pour lire la presse.",,B2,A2,A2
193,"Bon, mais ce qui compte c’est que l’école de Jules Ferry c’est une école qui a introduit de nouvelles valeurs
  pour l’époque, des valeurs qui fondent notre société aujourd’hui et qui sont directement héritées de l’esprit des
  grands philosophes.",,C1,A2,A2
194,"Respect des droits de l’homme, laïcité, égalité… C’est cela le grand apport de l’école
  du XIXe.",,B1,A2,A2
195,Moi je suis pas vraiment d’accord avec ce que dit Monsieur.,,A2,A2,A2
196,"Pour moi l’école d’aujourd’hui elle ne marche
  pas parce que justement on tente de la faire reposer sur des histoires, enfin sur des valeurs comme vous dites,
  qui sont du passé.",,B2,A2,A2
